,open,high,low,close,adjclose,volume,ticker
2017-03-01,360.29998779296875,364.0,358.95001220703125,362.3999938964844,352.190673828125,539631.0,ICICIPRULI.NS
2017-03-02,368.0,371.6000061035156,361.1000061035156,363.20001220703125,352.9681701660156,2018671.0,ICICIPRULI.NS
2017-03-03,362.95001220703125,365.1000061035156,359.1000061035156,362.6000061035156,352.3851013183594,512670.0,ICICIPRULI.NS
2017-03-06,363.6000061035156,370.45001220703125,361.25,369.5,359.09063720703125,1628485.0,ICICIPRULI.NS
2017-03-07,371.0,372.79998779296875,360.54998779296875,368.8999938964844,358.5075378417969,854942.0,ICICIPRULI.NS
2017-03-08,369.5,375.0,368.25,374.0,363.4638977050781,1536173.0,ICICIPRULI.NS
2017-03-09,372.0,378.0,369.3999938964844,372.6499938964844,362.1519775390625,1922978.0,ICICIPRULI.NS
2017-03-10,373.70001220703125,374.8999938964844,368.3500061035156,370.45001220703125,360.0138854980469,1134047.0,ICICIPRULI.NS
2017-03-14,374.8999938964844,375.8999938964844,372.20001220703125,374.75,364.19281005859375,2035563.0,ICICIPRULI.NS
2017-03-15,373.6499938964844,378.8999938964844,373.6499938964844,376.75,366.1364440917969,1202120.0,ICICIPRULI.NS
2017-03-16,377.0,378.8999938964844,369.1499938964844,370.20001220703125,359.77093505859375,766241.0,ICICIPRULI.NS
2017-03-17,371.5,375.8999938964844,365.1499938964844,371.29998779296875,360.8399658203125,11314052.0,ICICIPRULI.NS
2017-03-20,372.79998779296875,373.54998779296875,367.20001220703125,368.20001220703125,357.8273010253906,447618.0,ICICIPRULI.NS
2017-03-21,368.29998779296875,374.54998779296875,368.29998779296875,371.1000061035156,360.6455993652344,3806709.0,ICICIPRULI.NS
2017-03-22,369.1000061035156,369.45001220703125,361.25,364.1000061035156,353.8427734375,614601.0,ICICIPRULI.NS
2017-03-23,365.0,368.29998779296875,364.45001220703125,367.79998779296875,357.4385070800781,553928.0,ICICIPRULI.NS
2017-03-24,368.5,374.8999938964844,368.04998779296875,374.04998779296875,363.5124816894531,672041.0,ICICIPRULI.NS
2017-03-27,373.79998779296875,377.0,372.6000061035156,375.1000061035156,364.5329284667969,680026.0,ICICIPRULI.NS
2017-03-28,374.5,376.5,369.0,371.6000061035156,361.1315002441406,333510.0,ICICIPRULI.NS
